,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,"ASHWAGANDHA X 60 CAPSULAS SOMOS SETA""""","31.520,00","27.700,00",SUPLEMENTOS,"2.073,00"
,,"ASHWAGANDHA X 60 CC SOMOS SETA""""","25.410,00","22.330,00",SUPLEMENTOS,"2.411,00"
,,AVELLANAS CON CHOCO XKG,"56.230,00","47.960,00","DULCES, MIEL Y CHOCOLATES","2.010,00"
,,AVELLANAS SIN CASCARA X KG,"56.150,00","44.200,00",FRUTOS SECOS,"1.134,00"
,,AVENA ARROLLADA GRUESA X KG,"3.900,00","3.120,00",CEREALES,"1.135,00"
,,AVENA GRUESA INTEGRAL SIN TACC X350gr DICOMERE,"3.830,00","3.370,00",PRODUCTOS SIN TACC,"5.032,00"
,,AVENA INSTANTÁNEA X KG,"3.780,00","3.030,00",CEREALES,"1.136,00"
,,AVENA INSTANTANEA INTEGRAN SIN TACC X350gr DICOMERE,"3.830,00","3.370,00",PRODUCTOS SIN TACC,"5.033,00"
,,AVENA TRADICIONAL X KG.,"3.780,00","3.030,00",CEREALES,"1.137,00"
,,AZAFRAN ESPAÑOL X CAPSULA.,"4.130,00","3.300,00",ESPECIAS,"1.138,00"
,,AZUCAR IMPALPABLE X KG.,"4.100,00","3.280,00","AZUCAR, CACAO Y REPOSTERIA","1.140,00"
,,AZUCAR MASCABO X KG,"9.690,00","7.750,00","AZUCAR, CACAO Y REPOSTERIA","1.141,00"
,,AZUCAR NEGRA X KG.,"4.030,00","3.170,00","AZUCAR, CACAO Y REPOSTERIA","1.142,00"
,,BANANITAS CON CHOCO,"48.620,00","41.470,00","DULCES, MIEL Y CHOCOLATES","2.455,00"
,,"BARRA CROWIE ARROZ SIN TACC""""","1.100,00","960,00",PRODUCTOS SIN TACC,"2.103,00"
,,BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL,"4.590,00","3.920,00","DULCES, MIEL Y CHOCOLATES","2.003,00"
,,BARRA CHOCO 80% X 100 g - COLONIAL,"7.260,00","6.200,00","DULCES, MIEL Y CHOCOLATES","2.268,00"
,,BARRA CHOCO SIN AZUCAR x 100 g - COLONIAL,"5.180,00","4.430,00","DULCES, MIEL Y CHOCOLATES","2.004,00"
,,BARRA MUECAS X45GR,"2.080,00","1.770,00",SNACK,"2.014,00"
,,BARRA PROTA PROTEICA 59g,"4.330,00","3.700,00",SNACK,"4.454,00"
,,"BARRA PROTEICA INTEGRA""""","3.520,00","3.000,00",SNACK,"2.506,00"
,,"BARRAS CRUDDA"" X40Gr - SIN TACC""","2.610,00","2.230,00",SNACK,"2.074,00"
,,BARRAS PROTEICAS X45 GR - ENTRENUTS,"2.410,00","2.060,00",SNACK,"5.031,00"
,,BASTONCITO SALVADO TRIGO Y AVENA X KG.,"9.440,00","8.320,00",CEREALES,"1.147,00"
,,BERBERINA X60CC - EL NATURALISTA,"9.350,00","7.700,00",SUPLEMENTOS,"5.042,00"
,,BERENJENAS CONDIM.X 200 GR,"5.480,00","4.410,00",ENCURTIDOS,"1.150,00"
,,BICARBONATO DE SODIO X KG,"3.680,00","2.890,00",ESPECIAS,"2.089,00"
,,BISGLICINATO DE MAGNESIO NATIER 50 cápsulas,"24.060,00","22.510,00",SUPLEMENTOS,"2.463,00"
,,BLEND DE TE X 30g,"2.000,00","1.700,00",INFUSIONES Y HIERBAS,"2.326,00"
,,BOLDO X KG,"23.310,00","18.670,00",INFUSIONES Y HIERBAS,"1.154,00"
,,BOLITAS DE CHOCOLATE X KG.,"10.870,00","8.720,00",CEREALES,"1.155,00"
,,BOMBITA DEFUMACION X 4 uni. - SAGRADA MADRE,"880,00","750,00",PALADEAR HOME,"2.328,00"
,,BOMBONES DE PISTACHO X10unidades,"14.500,00","12.500,00","AZUCAR, CACAO Y REPOSTERIA","5.017,00"
,,CACAO AMARGO DE BRASIL X KG.,"38.990,00","31.270,00","AZUCAR, CACAO Y REPOSTERIA","1.163,00"
,,CAFE BRASIL BB X 250,"21.020,00","19.040,00",INFUSIONES Y HIERBAS,"2.381,00"
,,CAFE COLOMBIA HUILA BB X250,"22.170,00","20.090,00",INFUSIONES Y HIERBAS,"2.382,00"
,,CAFE DESCAFEINADO EXOTIC COLOMBIA BB X250,"24.970,00","22.630,00",INFUSIONES Y HIERBAS,"2.383,00"
,,"CAFE VERDE X30 COMPRIMIDOS EL NATURALISTA""""","8.600,00","6.780,00",SUPLEMENTOS,"2.216,00"
,,"CALDO DE HUESO MEDICINA ANCESTRAL""""","7.520,00","7.010,00",PRODUCTOS CONGELADOS,"2.278,00"
,,"CALDO DE VERDURA SIN SAL El Naturalista"" x10sobres""","4.590,00","3.920,00",ESPECIAS,"2.154,00"
,,"CALDO DE VERDURAS CON SAL El Naturalista"" x10sobres""","4.340,00","3.710,00",ESPECIAS,"2.155,00"
,,CANELA EN RAMA X KG,"89.250,00","71.440,00",ESPECIAS,"1.167,00"
,,CANELA MOLIDA X KG.,"17.630,00","14.150,00",ESPECIAS,"1.168,00"
,,CARDAMOMO X KG.,"181.590,01","145.300,01",ESPECIAS,"1.176,00"
,,"CARDO MARIANO TINTURA MADRE X 60 CC EL NATURALISTA""""","11.050,00","9.430,00",SUPLEMENTOS,"1.110,00"
,,"CARDOMARIANO x 30 cápsulas EL NATURALISTA""""","16.580,00","13.670,00",SUPLEMENTOS,"2.080,00"
,,"CAROTENO X 10 cápsulas EL NATURALISTA""""","2.380,00","2.010,00",SUPLEMENTOS,"2.218,00"
,,"CARQUEJA TINTURA MADRE EL NATURALISTA""""","7.649,98","6.524,99",SUPLEMENTOS,"2.351,00"
,,"CASCARA SAGRADA GOTAS X 60 CC EL NATURALISTA""""","9.270,00","7.940,00",SUPLEMENTOS,"2.170,00"
,,CASCARILLA DE CACAO X KG.,"8.300,00","6.640,00","AZUCAR, CACAO Y REPOSTERIA","1.178,00"
