,,Rubro,Artículo,Nombre,Bt.LISTA 1,Patente
,,"DULCES, MIEL Y CHOCOLATES",1310,HIGOS EN ALMIBAR X 850 GR,"7.860,00",12 unidades
,,"DULCES, MIEL Y CHOCOLATES",1406,"MIEL DE ABEJA X 1 kg MONTE NATURAL"" - JALEA""","5.040,00",12 unidades
,,"DULCES, MIEL Y CHOCOLATES",1408,"MIEL DE ABEJA X 250 g MONTE NATURAL"" - JALEA""","2.250,00",24 unidades
,,"DULCES, MIEL Y CHOCOLATES",1410,"MIEL DE ABEJA X 500 g MONTE NATURAL"" - JALEA""","3.220,00",24 unidades
,,"DULCES, MIEL Y CHOCOLATES",1655,"ZAPALLO EN ALMIBAR X 3,8 KG","28.620,00",2 unidades
,,"DULCES, MIEL Y CHOCOLATES",1656,ZAPALLO EN ALMIBAR X 360 g,"4.140,00",12 unidades
,,"DULCES, MIEL Y CHOCOLATES",1657,ZAPALLO EN ALMIBAR X 850 G,"5.870,00",12 unidades
,,ENCURTIDOS,1067,ADEREZO DE PICKLES DURANG X 200 GR.,"2.920,00",6 unid.
,,ENCURTIDOS,1081,AJIES DULCES DURANG X 1 KG,"17.970,00",2 unid.
,,ENCURTIDOS,1082,AJIES DULCES DURANG X 110 GR,"2.960,00",6 unid.
,,ENCURTIDOS,1083,AJIES PICANTES DURANG X 1 KG,"17.970,00",2 unid.
,,ENCURTIDOS,1084,AJIES PICANTES DURANG X 110 GR,"2.960,00",6 unid.
,,ENCURTIDOS,1100,"ALCAPARRAS CRISTO DE LOS CERROS"" X 100 GR""","5.480,00",12 unid.
,,ENCURTIDOS,1101,CORAZON DE ALCAUCIL CONDIM X 330 GR,"7.200,00",6 unidades
,,ENCURTIDOS,1150,BERENJENAS CONDIM.X 200 GR,"3.520,00",6 unidades
,,ENCURTIDOS,1185,CEBOLLITAS EN VINAGRE X 330 GR,"3.700,00",6 unidades
,,ENCURTIDOS,1204,CHUCRUT X 600 GR,"7.260,00",6 unidades
,,ENCURTIDOS,1230,CORAZONES DE ALCAUCIL X 300 GR,"6.490,00",6 unidades
,,ENCURTIDOS,1264,ESPARRAGOS X 250 GR,"6.760,00",12 unidades
,,ENCURTIDOS,1483,"PEPINILLOS EN VIN. X 200 g DURANG""""","3.210,00",6 unidades
,,ENCURTIDOS,1484,"PEPINILLOS EN VINAGRE X 2 kg DURANG""""","20.090,00",2 unidades
,,ENCURTIDOS,1485,"PEPINOS AGRIDULCES X 2 kg DURANG""""","15.600,00",2 unidades
,,ENCURTIDOS,1486,"PEPINOS AGRID X 200 g DURANG""""","3.430,00",6 unidades
,,ENCURTIDOS,1498,PICKLES GARRAFA X 1 KG.,"6.850,00",4 unidades
,,ENCURTIDOS,1500,PICKLES MIXTOS X 2 KG,"15.940,00",2 unidades
,,ENCURTIDOS,1501,PICKLES MIXTOS X 200 GR,"2.430,00",6 unidades
,,ENCURTIDOS,1517,"PIMIENTOS MORRONES X 200 g DURANG""""","3.790,00",6 unidades
,,ENCURTIDOS,1518,"PIMIENTOS MORRONES X 3 KG DURANG""""","27.880,00",2 unidades
,,ENCURTIDOS,1530,"POROTOS CONDIMENTADOS X 200 g DURANG""""","2.990,00",6 unidades
,,ENCURTIDOS,2434,"ALCAPARRAS CRISTO DE LOS CERROS"" X 500""","11.790,00",12 unid.
,,ENCURTIDOS,4451,AGRIDULCE DE VEGETALES DURANG X 200,"3.640,00",6 unid.
,,ENCURTIDOS,4464,TOMATES SECOS AGROIANI X 330,"5.400,00",PACK X 12 UND
,,ESPECIAS,1068,ADOBO PARA PIZZA X KG.,"7.820,00",1 kg
,,ESPECIAS,1079,AJI MOLIDO FINO X KG.,"7.100,00",1 kg
,,ESPECIAS,1085,AJO EN POLVO,"5.030,00",1 kg
,,ESPECIAS,1088,AJO GRANULADO X KG.,"10.960,00",1 kg
,,ESPECIAS,1099,ALBAHACA EN HOJAS X KG,"6.820,00",1 kg
,,ESPECIAS,1123,ANIS EN GRANO X KG.,"9.240,00",1 kg
,,ESPECIAS,1124,ANIS ESTRELLADO X KG.,"47.270,00",1 kg
,,ESPECIAS,1138,AZAFRAN ESPAÑOL X CAPSULA.,"2.680,00",10 unidades
,,ESPECIAS,1151,BICARBONATO DE SODIO X 50 GR,"260,00",25 unidades
,,ESPECIAS,1167,CANELA EN RAMA X KG,"57.900,00",1 kg
,,ESPECIAS,1168,CANELA MOLIDA X KG.,"11.440,00",1 kg
,,ESPECIAS,1176,CARDAMOMO X KG.,"117.890,00",1 kg
,,ESPECIAS,1182,CEBOLLA EN ESCAMAS X KG.,"8.940,00",1 kg
,,ESPECIAS,1201,CHIMICHURRI X KG.,"8.950,00",1 kg
,,ESPECIAS,1209,CLAVO DE OLOR ENTERO X KG.,"43.920,00",1 kg
,,ESPECIAS,1214,COMINO MOLIDO X KG.,"9.460,00",1 kg
,,ESPECIAS,1219,CONDIMENTO PARA ARROZ X KG,"8.990,00",1 kg
,,ESPECIAS,1236,CURCUMA MOLIDA X KG,"8.000,00",1 kg
,,ESPECIAS,1239,CURRY X KG,"10.320,00",1 kg
,,ESPECIAS,1270,FINAS HIERBAS X KG.,"12.660,00",1 kg
,,ESPECIAS,1314,HONGOS SECOS X KG,"36.280,00",1 kg
,,ESPECIAS,1320,JENGIBRE MOLIDO X KG.,"10.860,00",1 kg
,,ESPECIAS,1333,JULIANA SIN PAPA X KG,"12.350,00",1 kg
,,ESPECIAS,1350,LAUREL EN HOJAS X KG.,"20.500,00",1 kg
,,ESPECIAS,1360,LEVADURA DE CERVEZA NUTRICIONAL X KG,"8.260,00",1 kg
,,ESPECIAS,1363,MACA EN POLVO X KG.,"16.560,00",1 kg
,,ESPECIAS,1418,MIX 4 PIMIENTAS,"37.560,00",1 kg
,,ESPECIAS,1436,MOSTAZA EN GRANOS X KG,"6.130,00",1 kg
,,ESPECIAS,1451,NUEZ MOSCADA ENTERA X KG,"36.780,00",1 kg
,,ESPECIAS,1452,NUEZ MOSCADA MOLIDA X KG.,"15.890,00",1 kg
,,ESPECIAS,1455,OREGANO KG.,"6.280,00",1 kg
,,ESPECIAS,1489,PEREJIL EN HOJAS X KG.,"10.170,00",1 kg
,,ESPECIAS,1495,PESTO X KG,"8.370,00",1 kg
,,ESPECIAS,1502,PIMENTON AHUMADO X KG,"8.180,00",1 kg
,,ESPECIAS,1505,PIMENTON EXTRA X KG,"8.100,00",1 kg
,,ESPECIAS,1506,PIMENTÓN PICANTE X KG,"7.800,00",1 kg
,,ESPECIAS,1508,PIMIENTA BLANCA EN GRANO X KG,"37.400,00",1 kg
,,ESPECIAS,1510,PIMIENTA BLANCA MOLIDA X KG,"37.950,00",1 kg
,,ESPECIAS,1511,PIMIENTA CAYENA MOLIDA X KG.,"9.000,00",1 kg
,,ESPECIAS,1512,PIMIENTA NEGRA EN GRANO X KG.,"20.970,00",1 kg
,,ESPECIAS,1513,PIMIENTA NEGRA MOLIDA X KG,"24.490,00",1 kg
,,ESPECIAS,1545,PROVENZAL X KG.,"11.610,00",1 kg
,,ESPECIAS,1555,ROMERO EN HOJAS X KG.,"10.590,00",1 kg
,,ESPECIAS,1557,SAL DEL HIMALAYA FINA X 1 KG,"3.180,00",1 kg
,,ESPECIAS,1558,SAL DEL HIMALAYA GRUESA X KG,"3.850,00",10 kg
,,ESPECIAS,1561,"SAL MARINA FINA X 500 g MACROZEN""""","2.110,00",10 unidades
,,ESPECIAS,1562,"SAL MARINA GRUESA X 500 g MACROZEN""""","2.100,00",10 unidades
,,ESPECIAS,1578,SALVIA OFICINAL X KG.,"12.340,00",1 kg
,,ESPECIAS,1633,TOMILLO X KG,"8.680,00",1 kg
,,ESPECIAS,1702,GELATINA SIN SABOR X KG,"16.870,00",1 kg
,,ESPECIAS,2089,BICARBONATO DE SODIO X KG,"2.320,00",1 kg
,,ESPECIAS,2092,POLEN X KG,"18.480,00",1 kg
,,FRUTOS SECOS,1134,AVELLANAS SIN CASCARA X KG,"36.340,00",10 kg
,,FRUTOS SECOS,1180,CASTAÑAS CAJÚ VIETNAM X KG,"14.055,00",5 kg
,,FRUTOS SECOS,1365,MAIZ FRITO SALADO X KG,"11.290,00",1 kg
,,FRUTOS SECOS,1375,MANI C/CASCARA X KG,"4.230,00",1 kg
,,FRUTOS SECOS,1378,MANI JAPONES,"6.410,00",1 kg
,,FRUTOS SECOS,1379,MANI SABORIZADO X KG,"4.320,00",1 kg
,,FRUTOS SECOS,1380,MANI TOSTADO SALADO X KG,"3.550,00",1 kg
,,FRUTOS SECOS,1381,MANI TOSTADO X KG.,"3.550,00",1 kg
,,FRUTOS SECOS,1416,MIX CERVECERO X KG,"6.080,00",1 kg
,,FRUTOS SECOS,1420,MIX DE FR SECOS/ CEREALES X KG,"7.840,00",1 kg
,,FRUTOS SECOS,1426,MIX PATAGONICO X KG,"12.900,00",5 kg
,,FRUTOS SECOS,1429,MIX TRADICIONAL X KG,"4.920,00",5 kg
